"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+2"
"3",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-2"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"8",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+4"
"9",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"10",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"11",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+8"
"13",3,"Chris Olave",NO,"WR9","8","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"14",3,"Nico Collins",HOU,"WR10","8","4 out of 5","2 out of 5","3 out of 5 stars","+11"
"15",3,"Chase Brown",CIN,"RB5","6","5 out of 5","2 out of 5","2 out of 5 stars","0"
"16",3,"Brock Bowers",LV,"TE1","13","5 out of 5","2 out of 5","3 out of 5 stars","+6"
"17",3,"George Pickens",DAL,"WR11","14","4 out of 5","4 out of 5","2 out of 5 stars","+7"
"18",3,"James Cook III",BUF,"RB6","7","5 out of 5","2 out of 5","2 out of 5 stars","-9"
"19",3,"Trey McBride",ARI,"TE2","14","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"20",4,"De'Von Achane",MIA,"RB7","6","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"21",4,"Rashee Rice",KC,"WR12","5","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"22",4,"Ashton Jeanty",LV,"RB8","13","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"23",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"24",4,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-7"
"25",4,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-2"
"26",4,"Malik Nabers",NYG,"WR14","8","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"27",4,"Saquon Barkley",PHI,"RB10","10","4 out of 5","3 out of 5","4 out of 5 stars","-13"
"28",4,"Drake Maye",NE,"QB2","11","5 out of 5","2 out of 5","2 out of 5 stars","+25"
"29",4,"Lamar Jackson",BAL,"QB3","13","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"30",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"31",4,"Garrett Wilson",NYJ,"WR16","13","4 out of 5","3 out of 5","4 out of 5 stars","+9"
"32",5,"Tetairoa McMillan",CAR,"WR17","5","4 out of 5","3 out of 5","2 out of 5 stars","+5"
"33",5,"Ladd McConkey",LAC,"WR18","7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"34",5,"Kenneth Walker III",KC,"RB11","5","5 out of 5","3 out of 5","3 out of 5 stars","-16"
"35",5,"Jaylen Waddle",DEN,"WR19","10","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"36",5,"Tee Higgins",CIN,"WR20","6","5 out of 5","2 out of 5","4 out of 5 stars","+6"
"37",5,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-21"
"38",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","4 out of 5","3 out of 5 stars","-5"
"39",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+4"
"40",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","3 out of 5","2 out of 5 stars","-12"
"41",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-11"
"42",5,"Josh Jacobs",GB,"RB16","11","4 out of 5","3 out of 5","4 out of 5 stars","-10"
"43",5,"Terry McLaurin",WAS,"WR21","7","4 out of 5","2 out of 5","2 out of 5 stars","+11"
"44",6,"Emeka Egbuka",TB,"WR22","10","5 out of 5","3 out of 5","4 out of 5 stars","-5"
"45",6,"Javonte Williams",DAL,"RB17","14","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"46",6,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","3 out of 5","3 out of 5 stars","-8"
"47",6,"Davante Adams",LAR,"WR23","11","3 out of 5","4 out of 5","1 out of 5 stars","+2"
"48",6,"Luther Burden III",CHI,"WR24","10","4 out of 5","4 out of 5","3 out of 5 stars","+8"
"49",6,"Jayden Daniels",WAS,"QB4","7","4 out of 5","4 out of 5","2 out of 5 stars","+13"
"50",6,"Jameson Williams",DET,"WR25","6","4 out of 5","3 out of 5","4 out of 5 stars","+9"
"51",6,"Joe Burrow",CIN,"QB5","6","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"52",6,"Bucky Irving",TB,"RB19","10","3 out of 5","4 out of 5","2 out of 5 stars","-7"
"53",6,"Mike Evans",SF,"WR26","8","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"54",6,"Christian Watson",GB,"WR27","11","4 out of 5","4 out of 5","5 out of 5 stars","+12"
"55",6,"TreVeyon Henderson",NE,"RB20","11","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"56",6,"Cam Skattebo",NYG,"RB21","8","4 out of 5","4 out of 5","4 out of 5 stars","-20"
"57",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","-5"
"58",6,"D'Andre Swift",CHI,"RB22","10","3 out of 5","3 out of 5","2 out of 5 stars","-11"
"59",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+4"
"60",6,"DJ Moore",BUF,"WR28","7","4 out of 5","2 out of 5","4 out of 5 stars","-9"
"61",7,"Rome Odunze",CHI,"WR29","10","4 out of 5","3 out of 5","3 out of 5 stars","0"
"62",7,"Justin Herbert",LAC,"QB7","7","4 out of 5","2 out of 5","2 out of 5 stars","+24"
"63",7,"Quinshon Judkins",CLE,"RB23","11","4 out of 5","4 out of 5","3 out of 5 stars","-17"
"64",7,"David Montgomery",HOU,"RB24","8","4 out of 5","2 out of 5","4 out of 5 stars","-14"
"65",7,"Caleb Williams",CHI,"QB8","10","5 out of 5","2 out of 5","3 out of 5 stars","+11"
"66",7,"Brian Thomas Jr.",JAC,"WR30","7","3 out of 5","4 out of 5","4 out of 5 stars","+12"
"67",7,"Courtland Sutton",DEN,"WR31","10","2 out of 5","4 out of 5","2 out of 5 stars","+10"
"68",7,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-3"
"69",7,"DK Metcalf",PIT,"WR32","9","4 out of 5","3 out of 5","3 out of 5 stars","+11"
"70",7,"Parker Washington",JAC,"WR33","7","4 out of 5","3 out of 5","4 out of 5 stars","+1"
"71",7,"Jaylen Warren",PIT,"RB25","9","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"72",7,"Bhayshul Tuten",JAC,"RB26","7","4 out of 5","3 out of 5","4 out of 5 stars","-14"
"73",7,"Tucker Kraft",GB,"TE6","11","5 out of 5","2 out of 5","2 out of 5 stars","-5"
"74",7,"Chris Godwin Jr.",TB,"WR34","10","4 out of 5","3 out of 5","4 out of 5 stars","+21"
"75",7,"Marvin Harrison Jr.",ARI,"WR35","14","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"76",7,"Michael Pittman Jr.",PIT,"WR36","9","3 out of 5","3 out of 5","3 out of 5 stars","+17"
"77",7,"Dak Prescott",DAL,"QB9","14","4 out of 5","2 out of 5","2 out of 5 stars","-3"
"78",7,"Jadarian Price",SEA,"RB27","11","4 out of 5","4 out of 5","4 out of 5 stars","-18"
"79",7,"Trevor Lawrence",JAC,"QB10","7","5 out of 5","2 out of 5","4 out of 5 stars","+5"
"80",7,"Carnell Tate",TEN,"WR37","9","4 out of 5","3 out of 5","3 out of 5 stars","-8"
"81",7,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","-6"
"82",7,"Wan'Dale Robinson",TEN,"WR38","9","3 out of 5","3 out of 5","3 out of 5 stars","+14"
"83",7,"Kyle Pitts Sr.",ATL,"TE7","11","4 out of 5","4 out of 5","3 out of 5 stars","-16"
"84",8,"Tony Pollard",TEN,"RB29","9","4 out of 5","2 out of 5","3 out of 5 stars","-3"
